Driving_Time1234567,Driving_Time1234568,Driving_Time1234569,Driving_Time1234560,Driving_Time1234561,Driving_Time1234562,Driving_Time1234563,Driving_Time1234564,Driving_Time1234565,Driving_Time1234566
42,42,42,42,42,42,42,42,42,42
42,42,42,42,42,42,42,42,42,42
42,42,42,42,42,42,42,42,42,42
42,42,42,42,42,42,42,42,42,42
42,42,42,42,42,42,42,42,42,42
42,42,42,42,42,42,42,42,42,42
42,42,42,42,42,42,42,42,42,42
42,42,42,42,42,42,42,42,42,42
60,60,60,60,60,60,60,60,60,60
60,60,60,60,60,60,60,60,60,60
61,61,61,61,61,61,61,61,61,61
61,61,61,61,61,61,61,61,61,61
42,42,42,42,42,42,42,42,42,42
42,42,42,42,42,42,42,42,42,42
60,60,60,60,60,60,60,60,60,60
60,60,60,60,60,60,60,60,60,60
61,61,61,61,61,61,61,61,61,61
61,61,61,61,61,61,61,61,61,61
42,42,42,42,42,42,42,42,42,42
42,42,42,42,42,42,42,42,42,42
60,60,60,60,60,60,60,60,60,60
60,60,60,60,60,60,60,60,60,60
71,71,71,71,71,71,71,71,71,71
71,71,71,71,71,71,71,71,71,71
61,61,61,61,61,61,61,61,61,61
61,61,61,61,61,61,61,61,61,61
42,42,42,42,42,42,42,42,42,42
42,42,42,42,42,42,42,42,42,42
60,60,60,60,60,60,60,60,60,60
60,60,60,60,60,60,60,60,60,60
71,71,71,71,71,71,71,71,71,71
71,71,71,71,71,71,71,71,71,71
61,61,61,61,61,61,61,61,61,61
61,61,61,61,61,61,61,61,61,61
42,42,42,42,42,42,42,42,42,42
42,42,42,42,42,42,42,42,42,42
60,60,60,60,60,60,60,60,60,60
60,60,60,60,60,60,60,60,60,60
71,71,71,71,71,71,71,71,71,71
71,71,71,71,71,71,71,71,71,71
61,61,61,61,61,61,61,61,61,61
61,61,61,61,61,61,61,61,61,61
42,42,42,42,42,42,42,42,42,42
42,42,42,42,42,42,42,42,42,42
83,83,83,83,83,83,83,83,83,83
83,83,83,83,83,83,83,83,83,83
60,60,60,60,60,60,60,60,60,60
60,60,60,60,60,60,60,60,60,60
71,71,71,71,71,71,71,71,71,71
71,71,71,71,71,71,71,71,71,71
61,61,61,61,61,61,61,61,61,61
61,61,61,61,61,61,61,61,61,61
42,42,42,42,42,42,42,42,42,42
42,42,42,42,42,42,42,42,42,42
83,83,83,83,83,83,83,83,83,83
83,83,83,83,83,83,83,83,83,83
60,60,60,60,60,60,60,60,60,60
60,60,60,60,60,60,60,60,60,60
71,71,71,71,71,71,71,71,71,71
71,71,71,71,71,71,71,71,71,71
61,61,61,61,61,61,61,61,61,61
61,61,61,61,61,61,61,61,61,61
42,42,42,42,42,42,42,42,42,42
42,42,42,42,42,42,42,42,42,42
83,83,83,83,83,83,83,83,83,83
83,83,83,83,83,83,83,83,83,83
60,60,60,60,60,60,60,60,60,60
60,60,60,60,60,60,60,60,60,60
71,71,71,71,71,71,71,71,71,71
71,71,71,71,71,71,71,71,71,71
61,61,61,61,61,61,61,61,61,61
61,61,61,61,61,61,61,61,61,61
